,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,61499640.0,61570314.0,61661493.0,61736289.0,
Preferred Shares Number,9600000.0,9600000.0,9600000.0,9600000.0,
Ordinary Shares Number,109327556.0,108906426.0,108473932.0,108023735.0,
Share Issued,170827196.0,170476740.0,170135425.0,169760024.0,
Net Debt,11617000000.0,11879000000.0,13171000000.0,3431000000.0,
Total Debt,12952000000.0,14098000000.0,15126000000.0,4204000000.0,
Tangible Book Value,-3853000000.0,-3861000000.0,-5610000000.0,2042000000.0,
Invested Capital,17754000000.0,20775000000.0,20316000000.0,8156000000.0,
Working Capital,1292000000.0,2146000000.0,2543000000.0,1302000000.0,
Net Tangible Assets,-3853000000.0,-3861000000.0,-5610000000.0,2042000000.0,
Capital Lease Obligations,373000000.0,414000000.0,447000000.0,237000000.0,
Common Stock Equity,5175000000.0,7091000000.0,5637000000.0,4189000000.0,
Total Capitalization,16253000000.0,19392000000.0,19010000000.0,7365000000.0,
Total Equity Gross Minority Interest,5609000000.0,7552000000.0,6105000000.0,4537000000.0,
Minority Interest,434000000.0,461000000.0,468000000.0,348000000.0,
Stockholders Equity,5175000000.0,7091000000.0,5637000000.0,4189000000.0,
Gains Losses Not Affecting Retained Earnings,-848000000.0,-744000000.0,-518000000.0,-329000000.0,
Other Equity Adjustments,-848000000.0,-744000000.0,-518000000.0,-329000000.0,
Treasury Stock,5486000000.0,5488000000.0,5491000000.0,5492000000.0,
Retained Earnings,11100000000.0,12929000000.0,11274000000.0,9677000000.0,
Additional Paid In Capital,409000000.0,394000000.0,372000000.0,333000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,17248000000.0,19045000000.0,20167000000.0,7438000000.0,
Total Non Current Liabilities Net Minority Interest,13395000000.0,14973000000.0,16099000000.0,4933000000.0,
Other Non Current Liabilities,694000000.0,891000000.0,709000000.0,444000000.0,
Derivative Product Liabilities,,,,,34000000.0
Employee Benefits,396000000.0,457000000.0,411000000.0,558000000.0,
Non Current Pension And Other Postretirement Benefit Plans,,,,558000000.0,643000000.0
Tradeand Other Payables Non Current,,300000000.0,322000000.0,280000000.0,240000000.0
Non Current Deferred Liabilities,933000000.0,999000000.0,1242000000.0,555000000.0,
Non Current Deferred Revenue,,,,,51000000.0
Non Current Deferred Taxes Liabilities,933000000.0,999000000.0,1242000000.0,555000000.0,
Long Term Debt And Capital Lease Obligation,11372000000.0,12626000000.0,13737000000.0,3376000000.0,
Long Term Capital Lease Obligation,294000000.0,325000000.0,364000000.0,200000000.0,
Long Term Debt,11078000000.0,12301000000.0,13373000000.0,3176000000.0,
Long Term Provisions,,,,,68000000.0
Current Liabilities,3853000000.0,4072000000.0,4068000000.0,2505000000.0,
Other Current Liabilities,386000000.0,395000000.0,468000000.0,122000000.0,
Current Debt And Capital Lease Obligation,1580000000.0,1472000000.0,1389000000.0,828000000.0,
Current Capital Lease Obligation,79000000.0,89000000.0,83000000.0,37000000.0,
Current Debt,1501000000.0,1383000000.0,1306000000.0,791000000.0,
Other Current Borrowings,1446000000.0,1171000000.0,1006000000.0,591000000.0,
Line Of Credit,55000000.0,212000000.0,300000000.0,200000000.0,
Pensionand Other Post Retirement Benefit Plans Current,25000000.0,25000000.0,25000000.0,26000000.0,
Current Provisions,92000000.0,96000000.0,101000000.0,96000000.0,
Payables And Accrued Expenses,1770000000.0,2084000000.0,2085000000.0,1433000000.0,
Current Accrued Expenses,388000000.0,421000000.0,416000000.0,165000000.0,
Interest Payable,222000000.0,246000000.0,265000000.0,30000000.0,
Payables,1382000000.0,1663000000.0,1669000000.0,1268000000.0,
Total Tax Payable,154000000.0,153000000.0,151000000.0,108000000.0,
Income Tax Payable,4000000.0,25000000.0,43000000.0,81000000.0,
Accounts Payable,1228000000.0,1510000000.0,1518000000.0,1160000000.0,
Total Assets,22857000000.0,26597000000.0,26272000000.0,11975000000.0,
Total Non Current Assets,17712000000.0,20379000000.0,19661000000.0,8168000000.0,
Other Non Current Assets,555000000.0,524000000.0,547000000.0,521000000.0,
Non Current Deferred Assets,1251000000.0,1677000000.0,808000000.0,248000000.0,
Non Current Deferred Taxes Assets,1251000000.0,1677000000.0,808000000.0,248000000.0,
Investments And Advances,1217000000.0,1220000000.0,1062000000.0,823000000.0,
Long Term Equity Investment,1217000000.0,1220000000.0,1062000000.0,823000000.0,
Investmentsin Associatesat Cost,1217000000.0,1220000000.0,1062000000.0,823000000.0,
Goodwill And Other Intangible Assets,9028000000.0,10952000000.0,11247000000.0,2147000000.0,
Other Intangible Assets,3641000000.0,3975000000.0,4105000000.0,735000000.0,
Goodwill,5387000000.0,6977000000.0,7142000000.0,1412000000.0,
Net PPE,5661000000.0,6006000000.0,5997000000.0,4429000000.0,
Accumulated Depreciation,-4562000000.0,-4080000000.0,-3687000000.0,-3484000000.0,
Gross PPE,10223000000.0,10086000000.0,9684000000.0,7913000000.0,
Construction In Progress,700000000.0,1080000000.0,938000000.0,725000000.0,
Other Properties,388000000.0,422000000.0,413000000.0,236000000.0,
Machinery Furniture Equipment,7745000000.0,7157000000.0,6897000000.0,5993000000.0,
Buildings And Improvements,1059000000.0,1082000000.0,1062000000.0,833000000.0,
Land And Improvements,331000000.0,345000000.0,374000000.0,126000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,5145000000.0,6218000000.0,6611000000.0,3807000000.0,
Other Current Assets,285000000.0,272000000.0,241000000.0,80000000.0,
Inventory,2284000000.0,2357000000.0,2808000000.0,1524000000.0,
Finished Goods,1605000000.0,1604000000.0,1820000000.0,1014000000.0,
Work In Process,119000000.0,160000000.0,202000000.0,75000000.0,
Raw Materials,560000000.0,593000000.0,786000000.0,435000000.0,
Receivables,1614000000.0,1784000000.0,2054000000.0,1667000000.0,
Other Receivables,174000000.0,214000000.0,315000000.0,101000000.0,
Taxes Receivable,319000000.0,327000000.0,360000000.0,405000000.0,
Accounts Receivable,1121000000.0,1243000000.0,1379000000.0,1161000000.0,
Allowance For Doubtful Accounts Receivable,-16000000.0,-12000000.0,-15000000.0,-10000000.0,
Gross Accounts Receivable,1137000000.0,1255000000.0,1394000000.0,1171000000.0,
Cash Cash Equivalents And Short Term Investments,962000000.0,1805000000.0,1508000000.0,536000000.0,
Other Short Term Investments,,,,10000000.0,533000000.0
Cash And Cash Equivalents,962000000.0,1805000000.0,1508000000.0,536000000.0,
