,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,531000000.0,1331000000.0,1276000000.0,1290000000.0,
Repurchase Of Capital Stock,0.0,0.0,-17000000.0,-1000000000.0,
Repayment Of Debt,-1451000000.0,-4541000000.0,-526000000.0,-792000000.0,
Issuance Of Debt,503000000.0,3453000000.0,11305000000.0,1196000000.0,
Capital Expenditure,-435000000.0,-568000000.0,-543000000.0,-467000000.0,
Interest Paid Supplemental Data,349000000.0,237000000.0,273000000.0,105000000.0,
Income Tax Paid Supplemental Data,701000000.0,780000000.0,122000000.0,215000000.0,
End Cash Position,962000000.0,1805000000.0,1508000000.0,536000000.0,
Beginning Cash Position,1805000000.0,1508000000.0,536000000.0,955000000.0,
Effect Of Exchange Rate Changes,-26000000.0,-12000000.0,4000000.0,-15000000.0,
Changes In Cash,-817000000.0,309000000.0,968000000.0,-404000000.0,
Financing Cash Flow,-1313000000.0,-1456000000.0,10290000000.0,-1042000000.0,
Cash Flow From Continuing Financing Activities,-1313000000.0,-1456000000.0,10290000000.0,-1042000000.0,
Net Other Financing Charges,-59000000.0,-63000000.0,-175000000.0,-142000000.0,
Proceeds From Stock Option Exercised,1000000.0,0.0,0.0,0.0,
Cash Dividends Paid,-307000000.0,-305000000.0,-297000000.0,-304000000.0,
Common Stock Dividend Paid,-307000000.0,-305000000.0,-297000000.0,-304000000.0,
Net Common Stock Issuance,0.0,0.0,-17000000.0,-1000000000.0,
Common Stock Payments,0.0,0.0,-17000000.0,-1000000000.0,
Net Issuance Payments Of Debt,-948000000.0,-1088000000.0,10779000000.0,404000000.0,
Net Short Term Debt Issuance,-243000000.0,-429000000.0,536000000.0,200000000.0,
Short Term Debt Payments,-418000000.0,-881000000.0,0.0,-6000000.0,
Short Term Debt Issuance,175000000.0,452000000.0,536000000.0,206000000.0,
Net Long Term Debt Issuance,-705000000.0,-659000000.0,10243000000.0,204000000.0,
Long Term Debt Payments,-1033000000.0,-3660000000.0,-526000000.0,-786000000.0,
Long Term Debt Issuance,328000000.0,3001000000.0,10769000000.0,990000000.0,
Investing Cash Flow,-470000000.0,-134000000.0,-11141000000.0,-1119000000.0,
Cash Flow From Continuing Investing Activities,-470000000.0,-134000000.0,-11141000000.0,-1119000000.0,
Net Other Investing Changes,-52000000.0,-98000000.0,-57000000.0,-53000000.0,
Net Investment Purchase And Sale,17000000.0,0.0,0.0,516000000.0,
Sale Of Investment,17000000.0,0.0,0.0,516000000.0,
Purchase Of Investment,,,0.0,0.0,-544000000.0
Net Business Purchase And Sale,0.0,532000000.0,-10541000000.0,-1115000000.0,
Sale Of Business,0.0,532000000.0,48000000.0,27000000.0,
Purchase Of Business,0.0,,-10589000000.0,-1142000000.0,-100000000.0
Capital Expenditure Reported,-435000000.0,-568000000.0,-543000000.0,-467000000.0,
Operating Cash Flow,966000000.0,1899000000.0,1819000000.0,1757000000.0,
Cash From Discontinued Operating Activities,-5000000.0,-2000000.0,-28000000.0,15000000.0,
Cash Flow From Continuing Operating Activities,971000000.0,1901000000.0,1847000000.0,1742000000.0,
Change In Working Capital,-204000000.0,516000000.0,280000000.0,-488000000.0,
Change In Other Current Liabilities,-63000000.0,-284000000.0,412000000.0,2000000.0,
Change In Other Current Assets,-10000000.0,277000000.0,-13000000.0,-80000000.0,
Change In Payables And Accrued Expense,-234000000.0,20000000.0,-84000000.0,353000000.0,
Change In Payable,-234000000.0,20000000.0,-84000000.0,353000000.0,
Change In Account Payable,-234000000.0,20000000.0,-84000000.0,353000000.0,
Change In Inventory,11000000.0,398000000.0,-253000000.0,-367000000.0,
Change In Receivables,92000000.0,105000000.0,218000000.0,-396000000.0,
Changes In Account Receivables,92000000.0,105000000.0,218000000.0,-396000000.0,
Other Non Cash Items,-29000000.0,-27000000.0,-122000000.0,-159000000.0,
Stock Based Compensation,32000000.0,40000000.0,60000000.0,95000000.0,
Asset Impairment Charge,1639000000.0,15000000.0,14000000.0,2000000.0,
Deferred Tax,216000000.0,-967000000.0,-835000000.0,13000000.0,
Deferred Income Tax,216000000.0,-967000000.0,-835000000.0,13000000.0,
Depreciation Amortization Depletion,823000000.0,739000000.0,478000000.0,378000000.0,
Depreciation And Amortization,823000000.0,739000000.0,478000000.0,378000000.0,
Depreciation,823000000.0,739000000.0,478000000.0,378000000.0,
Operating Gains Losses,8000000.0,-379000000.0,70000000.0,5000000.0,
Pension And Employee Benefit Expense,28000000.0,67000000.0,81000000.0,44000000.0,
Earnings Losses From Equity Investments,-33000000.0,55000000.0,-3000000.0,-34000000.0,
Gain Loss On Sale Of Business,13000000.0,-501000000.0,-8000000.0,-5000000.0,
Net Income From Continuing Operations,-1514000000.0,1964000000.0,1902000000.0,1896000000.0,
