,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-337260000.0,124950000.0,27090000.0,23250000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.15,
Normalized EBITDA,2109000000.0,2047000000.0,2175000000.0,2562000000.0,
Total Unusual Items,-1606000000.0,595000000.0,129000000.0,155000000.0,
Total Unusual Items Excluding Goodwill,-1606000000.0,595000000.0,129000000.0,155000000.0,
Net Income From Continuing Operation Net Minority Interest,-1514000000.0,1969000000.0,1902000000.0,1912000000.0,
Reconciled Depreciation,823000000.0,739000000.0,478000000.0,378000000.0,
Reconciled Cost Of Revenue,7260000000.0,7762000000.0,6877000000.0,5502000000.0,
EBITDA,503000000.0,2642000000.0,2304000000.0,2717000000.0,
EBIT,-320000000.0,1903000000.0,1826000000.0,2339000000.0,
Net Interest Income,-643000000.0,-688000000.0,-336000000.0,-92000000.0,
Interest Expense,676000000.0,720000000.0,405000000.0,91000000.0,
Interest Income,33000000.0,39000000.0,69000000.0,8000000.0,
Normalized Income,-245260000.0,1498950000.0,1800090000.0,1780250000.0,
Net Income From Continuing And Discontinued Operation,-1522000000.0,1960000000.0,1894000000.0,1890000000.0,
Total Expenses,9243000000.0,9722000000.0,8291000000.0,6599000000.0,
Total Operating Income As Reported,-697000000.0,1687000000.0,1378000000.0,1946000000.0,
Diluted Average Shares,,109400000.0,109200000.0,112100000.0,118500000.0
Basic Average Shares,,108800000.0,108400000.0,111200000.0,117800000.0
Diluted EPS,,17.92,17.34,16.86,16.75
Basic EPS,,18.01,17.48,16.99,16.85
Diluted NI Availto Com Stockholders,-1522000000.0,1960000000.0,1894000000.0,1890000000.0,
Net Income Common Stockholders,-1522000000.0,1960000000.0,1894000000.0,1890000000.0,
Net Income,-1522000000.0,1960000000.0,1894000000.0,1890000000.0,
Minority Interests,-8000000.0,-4000000.0,-8000000.0,-6000000.0,
Net Income Including Noncontrolling Interests,-1514000000.0,1964000000.0,1902000000.0,1896000000.0,
Net Income Discontinuous Operations,-8000000.0,-9000000.0,-8000000.0,-22000000.0,
Net Income Continuous Operations,-1506000000.0,1973000000.0,1910000000.0,1918000000.0,
Tax Provision,510000000.0,-790000000.0,-489000000.0,330000000.0,
Pretax Income,-996000000.0,1183000000.0,1421000000.0,2248000000.0,
Other Income Expense,-1390000000.0,653000000.0,375000000.0,402000000.0,
Other Non Operating Income Expenses,20000000.0,-44000000.0,26000000.0,101000000.0,
Special Income Charges,-1758000000.0,437000000.0,-3000000.0,6000000.0,
Gain On Sale Of Ppe,,-1000000.0,12000000.0,10000000.0,7000000.0
Gain On Sale Of Business,-14000000.0,505000000.0,5000000.0,3000000.0,
Other Special Charges,,,,,-4000000.0
Impairment Of Capital Assets,1639000000.0,15000000.0,14000000.0,2000000.0,
Restructuring And Mergern Acquisition,105000000.0,53000000.0,-6000000.0,-5000000.0,
Earnings From Equity Interest,196000000.0,102000000.0,220000000.0,146000000.0,
Gain On Sale Of Security,152000000.0,158000000.0,132000000.0,149000000.0,
Net Non Operating Interest Income Expense,-643000000.0,-688000000.0,-336000000.0,-92000000.0,
Total Other Finance Cost,,7000000.0,,9000000.0,
Interest Expense Non Operating,676000000.0,720000000.0,405000000.0,91000000.0,
Interest Income Non Operating,33000000.0,39000000.0,69000000.0,8000000.0,
Operating Income,1037000000.0,1218000000.0,1382000000.0,1938000000.0,
Operating Expense,1319000000.0,1385000000.0,998000000.0,744000000.0,
Depreciation Amortization Depletion Income Statement,159000000.0,164000000.0,62000000.0,25000000.0,
Depreciation And Amortization In Income Statement,159000000.0,164000000.0,62000000.0,25000000.0,
Amortization,159000000.0,164000000.0,62000000.0,25000000.0,
Amortization Of Intangibles Income Statement,159000000.0,164000000.0,62000000.0,25000000.0,
Research And Development,130000000.0,146000000.0,112000000.0,86000000.0,
Selling General And Administration,1030000000.0,1075000000.0,824000000.0,633000000.0,
Gross Profit,2356000000.0,2603000000.0,2380000000.0,2682000000.0,
Cost Of Revenue,7924000000.0,8337000000.0,7293000000.0,5855000000.0,
Total Revenue,10280000000.0,10940000000.0,9673000000.0,8537000000.0,
Operating Revenue,10280000000.0,10940000000.0,9673000000.0,8537000000.0,
