,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,48000000.0,-2726000000.0,-5440000000.0,-1425000000.0,
Repurchase Of Capital Stock,-1000000000.0,0.0,0.0,,
Repayment Of Debt,-4841000000.0,-5205000000.0,-4683000000.0,-6291000000.0,
Issuance Of Debt,9513000000.0,10638000000.0,12735000000.0,10528000000.0,
Issuance Of Capital Stock,405000000.0,8000000.0,9000000.0,5000000.0,
Capital Expenditure,-12280000000.0,-12604000000.0,-11367000000.0,-9715000000.0,
Interest Paid Supplemental Data,3284000000.0,2883000000.0,2361000000.0,2248000000.0,
Income Tax Paid Supplemental Data,,1000000.0,,,
End Cash Position,421000000.0,357000000.0,603000000.0,520000000.0,
Beginning Cash Position,357000000.0,603000000.0,520000000.0,556000000.0,
Changes In Cash,64000000.0,-246000000.0,83000000.0,-36000000.0,
Financing Cash Flow,859000000.0,2351000000.0,6129000000.0,2609000000.0,
Cash Flow From Continuing Financing Activities,859000000.0,2351000000.0,6129000000.0,2609000000.0,
Net Other Financing Charges,-5000000.0,154000000.0,1247000000.0,1481000000.0,
Cash Dividends Paid,-3213000000.0,-3244000000.0,-3179000000.0,-3114000000.0,
Common Stock Dividend Paid,-3213000000.0,-3244000000.0,-3179000000.0,-3114000000.0,
Net Preferred Stock Issuance,-1000000000.0,0.0,0.0,0.0,
Preferred Stock Payments,-1000000000.0,0.0,0.0,,
Preferred Stock Issuance,,,,0.0,0.0
Net Common Stock Issuance,405000000.0,8000000.0,9000000.0,5000000.0,
Common Stock Issuance,405000000.0,8000000.0,9000000.0,5000000.0,
Net Issuance Payments Of Debt,4672000000.0,5433000000.0,8052000000.0,4237000000.0,
Net Short Term Debt Issuance,-927000000.0,142000000.0,574000000.0,479000000.0,
Short Term Debt Payments,-1484000000.0,-468000000.0,-287000000.0,-997000000.0,
Short Term Debt Issuance,557000000.0,610000000.0,861000000.0,1476000000.0,
Net Long Term Debt Issuance,5599000000.0,5291000000.0,7478000000.0,3758000000.0,
Long Term Debt Payments,-3357000000.0,-4737000000.0,-4396000000.0,-5294000000.0,
Long Term Debt Issuance,8956000000.0,10028000000.0,11874000000.0,9052000000.0,
Investing Cash Flow,-13123000000.0,-12475000000.0,-11973000000.0,-10935000000.0,
Cash Flow From Continuing Investing Activities,-13123000000.0,-12475000000.0,-11973000000.0,-10935000000.0,
Net Other Investing Changes,-960000000.0,-650000000.0,-644000000.0,-333000000.0,
Net Investment Purchase And Sale,100000000.0,63000000.0,90000000.0,5000000.0,
Sale Of Investment,5803000000.0,3824000000.0,4333000000.0,6103000000.0,
Purchase Of Investment,-5703000000.0,-3761000000.0,-4243000000.0,-6098000000.0,
Net Business Purchase And Sale,17000000.0,716000000.0,-52000000.0,-892000000.0,
Sale Of Business,25000000.0,750000000.0,6000000.0,44000000.0,
Purchase Of Business,-8000000.0,-34000000.0,-58000000.0,-936000000.0,
Capital Expenditure Reported,-12280000000.0,-12604000000.0,-11367000000.0,-9715000000.0,
Operating Cash Flow,12328000000.0,9878000000.0,5927000000.0,8290000000.0,
Cash Flow From Continuing Operating Activities,12328000000.0,9878000000.0,5927000000.0,8290000000.0,
Change In Working Capital,1178000000.0,250000000.0,-3248000000.0,-677000000.0,
Change In Other Working Capital,-103000000.0,-18000000.0,19000000.0,50000000.0,
Change In Other Current Liabilities,440000000.0,558000000.0,257000000.0,82000000.0,
Change In Other Current Assets,-285000000.0,647000000.0,-3075000000.0,-1011000000.0,
Change In Payables And Accrued Expense,1361000000.0,-674000000.0,815000000.0,533000000.0,
Change In Payable,1361000000.0,-674000000.0,815000000.0,533000000.0,
Change In Account Payable,1329000000.0,-800000000.0,805000000.0,249000000.0,
Change In Tax Payable,32000000.0,126000000.0,10000000.0,284000000.0,
Change In Income Tax Payable,32000000.0,126000000.0,10000000.0,284000000.0,
Change In Inventory,-212000000.0,-706000000.0,-476000000.0,-34000000.0,
Change In Receivables,-23000000.0,443000000.0,-788000000.0,-297000000.0,
Other Non Cash Items,-878000000.0,-930000000.0,-839000000.0,-711000000.0,
Provisionand Write Offof Assets,-27000000.0,-63000000.0,-130000000.0,-70000000.0,
Asset Impairment Charge,38000000.0,85000000.0,434000000.0,356000000.0,
Deferred Tax,987000000.0,3000000.0,-200000000.0,191000000.0,
Deferred Income Tax,987000000.0,3000000.0,-200000000.0,191000000.0,
Depreciation Amortization Depletion,6419000000.0,6084000000.0,5843000000.0,5663000000.0,
Depreciation And Amortization,6419000000.0,6084000000.0,5843000000.0,5663000000.0,
Depreciation,6419000000.0,6084000000.0,5843000000.0,5663000000.0,
Operating Gains Losses,-3000000.0,1575000000.0,1612000000.0,-41000000.0,
Earnings Losses From Equity Investments,9000000.0,-98000000.0,-114000000.0,-28000000.0,
Gain Loss On Sale Of Business,14000000.0,1725000000.0,1748000000.0,0.0,
Net Income From Continuing Operations,4614000000.0,2874000000.0,2455000000.0,3579000000.0,
