,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,61223032.0,60872988.0,60284313.0,56630209.0
Ordinary Shares Number,124835582.0,124760760.0,125110804.0,125699479.0,
Share Issued,124835582.0,185983792.0,185983792.0,185983792.0,
Net Debt,3008000000.0,3655200000.0,2702000000.0,2655700000.0,
Total Debt,3495900000.0,4105200000.0,3424600000.0,3336000000.0,
Tangible Book Value,507700000.0,228900000.0,-852500000.0,-1004700000.0,
Invested Capital,7852800000.0,8368500000.0,6651900000.0,6296800000.0,
Working Capital,1939100000.0,1744500000.0,1639000000.0,1533500000.0,
Net Tangible Assets,507700000.0,228900000.0,-852500000.0,-1004700000.0,
Capital Lease Obligations,130600000.0,147600000.0,150600000.0,163500000.0,
Common Stock Equity,4487500000.0,4410900000.0,3377900000.0,3124300000.0,
Total Capitalization,7515400000.0,7434500000.0,6111100000.0,5856000000.0,
Total Equity Gross Minority Interest,4508800000.0,4433400000.0,3400900000.0,3143700000.0,
Minority Interest,21300000.0,22500000.0,23000000.0,19400000.0,
Stockholders Equity,4487500000.0,4410900000.0,3377900000.0,3124300000.0,
Gains Losses Not Affecting Retained Earnings,-410600000.0,-406500000.0,-459600000.0,-325500000.0,
Other Equity Adjustments,-410600000.0,-406500000.0,-459600000.0,-325500000.0,
Treasury Stock,2724500000.0,2723900000.0,2646200000.0,2542100000.0,
Retained Earnings,6637500000.0,6587100000.0,5555900000.0,5092900000.0,
Additional Paid In Capital,966500000.0,935600000.0,909200000.0,880400000.0,
Capital Stock,18600000.0,18600000.0,18600000.0,18600000.0,
Common Stock,18600000.0,18600000.0,18600000.0,18600000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,7144500000.0,7492800000.0,7770400000.0,7529400000.0,
Total Non Current Liabilities Net Minority Interest,4125300000.0,4108200000.0,3970800000.0,4009100000.0,
Other Non Current Liabilities,82800000.0,88600000.0,81000000.0,75600000.0,
Derivative Product Liabilities,,,,0.0,800000.0
Employee Benefits,22000000.0,26700000.0,35000000.0,47900000.0,
Non Current Pension And Other Postretirement Benefit Plans,19400000.0,24400000.0,31600000.0,41800000.0,
Tradeand Other Payables Non Current,0.0,23300000.0,62600000.0,92100000.0,
Non Current Deferred Liabilities,114700000.0,188100000.0,355100000.0,378900000.0,
Non Current Deferred Revenue,5500000.0,5600000.0,10100000.0,10300000.0,
Non Current Deferred Taxes Liabilities,86000000.0,158100000.0,321500000.0,342400000.0,
Long Term Debt And Capital Lease Obligation,3134000000.0,3146800000.0,2861800000.0,2871700000.0,
Long Term Capital Lease Obligation,106100000.0,123200000.0,128600000.0,140000000.0,
Long Term Debt,3027900000.0,3023600000.0,2733200000.0,2731700000.0,
Long Term Provisions,771800000.0,634700000.0,575300000.0,542900000.0,
Current Liabilities,3019200000.0,3384600000.0,3799600000.0,3520300000.0,
Other Current Liabilities,102400000.0,91700000.0,169800000.0,220200000.0,
Current Deferred Liabilities,453800000.0,482100000.0,680500000.0,712700000.0,
Current Deferred Revenue,453800000.0,482100000.0,680500000.0,712700000.0,
Current Debt And Capital Lease Obligation,361900000.0,958400000.0,562800000.0,464300000.0,
Current Capital Lease Obligation,24500000.0,24400000.0,22000000.0,23500000.0,
Current Debt,337400000.0,934000000.0,540800000.0,440800000.0,
Other Current Borrowings,211800000.0,194500000.0,170300000.0,196700000.0,
