,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-30471000.0,-30534000.0,-8643200.0,-11124000.0,
Tax Rate For Calcs,0.21,0.21,0.148,0.103,
Normalized EBITDA,809700000.0,867100000.0,1363500000.0,1307800000.0,
Total Unusual Items,-145100000.0,-145400000.0,-58400000.0,-108000000.0,
Total Unusual Items Excluding Goodwill,-145100000.0,-145400000.0,-58400000.0,-108000000.0,
Net Income From Continuing Operation Net Minority Interest,402900000.0,1420000000.0,833700000.0,807800000.0,
Reconciled Depreciation,176300000.0,184300000.0,169400000.0,170900000.0,
Reconciled Cost Of Revenue,2597200000.0,2655800000.0,3475500000.0,2883900000.0,
EBITDA,664600000.0,721700000.0,1305100000.0,1199800000.0,
EBIT,488300000.0,537400000.0,1135700000.0,1028900000.0,
Net Interest Income,-235800000.0,-237200000.0,-151800000.0,-131100000.0,
Interest Expense,235800000.0,237200000.0,151800000.0,131100000.0,
Interest Income,,,0.0,0.0,100000.0
Normalized Income,517529000.0,1534866000.0,883456800.0,904676000.0,
Net Income From Continuing And Discontinued Operation,341100000.0,1321500000.0,736500000.0,739600000.0,
Total Expenses,3594500000.0,3785800000.0,4599600000.0,3908300000.0,
Diluted Average Shares,,125500000.0,126700000.0,129100000.0,130600000.0
Basic Average Shares,,125100000.0,126000000.0,128400000.0,129700000.0
Diluted EPS,,10.53,5.81,5.7,4.22
Basic EPS,,10.55,5.83,5.72,4.24
Diluted NI Availto Com Stockholders,339900000.0,1318800000.0,734800000.0,737800000.0,
Net Income Common Stockholders,339900000.0,1318800000.0,734800000.0,737800000.0,
Otherunder Preferred Stock Dividend,1200000.0,2700000.0,1700000.0,1800000.0,
Net Income,341100000.0,1321500000.0,736500000.0,739600000.0,
Minority Interests,-500000.0,500000.0,-5000000.0,2500000.0,
Net Income Including Noncontrolling Interests,341600000.0,1321000000.0,741500000.0,737100000.0,
Net Income Discontinuous Operations,-61800000.0,-98500000.0,-97200000.0,-68200000.0,
Net Income Continuous Operations,403400000.0,1419500000.0,838700000.0,805300000.0,
Tax Provision,-150900000.0,-1119300000.0,145200000.0,92500000.0,
Pretax Income,252500000.0,300200000.0,983900000.0,897800000.0,
Other Income Expense,-163300000.0,-163600000.0,-67000000.0,-108000000.0,
Other Non Operating Income Expenses,-18200000.0,-18200000.0,-8600000.0,-20000000.0,
Special Income Charges,-145100000.0,-145400000.0,-58400000.0,-108000000.0,
Gain On Sale Of Business,174400000.0,0.0,-76800000.0,0.0,
Other Special Charges,16500000.0,84000000.0,7700000.0,66900000.0,
Restructuring And Mergern Acquisition,303000000.0,61400000.0,-26100000.0,41100000.0,
Earnings From Equity Interest,,,,,0.0
Net Non Operating Interest Income Expense,-235800000.0,-237200000.0,-151800000.0,-131100000.0,
Interest Expense Non Operating,235800000.0,237200000.0,151800000.0,131100000.0,
Interest Income Non Operating,,,0.0,0.0,100000.0
Operating Income,651600000.0,701000000.0,1202700000.0,1136900000.0,
Operating Expense,997300000.0,1130000000.0,1124100000.0,1024400000.0,
Other Operating Expenses,74700000.0,66900000.0,34700000.0,,24900000.0
Research And Development,278000000.0,328800000.0,314200000.0,304700000.0,
Selling General And Administration,644600000.0,734300000.0,775200000.0,719700000.0,
General And Administrative Expense,,752500000.0,775200000.0,719700000.0,729700000.0
Other Gand A,,734300000.0,775200000.0,714100000.0,729700000.0
Salaries And Wages,,18200000.0,8600000.0,5600000.0,14700000.0
Gross Profit,1648900000.0,1831000000.0,2326800000.0,2161300000.0,
Cost Of Revenue,2597200000.0,2655800000.0,3475500000.0,2883900000.0,
Total Revenue,4246100000.0,4486800000.0,5802300000.0,5045200000.0,
Operating Revenue,4246100000.0,4486800000.0,5802300000.0,5045200000.0,
