,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,6508342000.0,-1602205000.0,-5364315000.0,-7278757000.0,
Repurchase Of Capital Stock,0.0,-289844000.0,-346651000.0,-769710000.0,
Repayment Of Debt,-25677318000.0,-12763783000.0,-13910767000.0,-21473835000.0,
Issuance Of Debt,29136875000.0,16383154000.0,20439101000.0,30369415000.0,
Issuance Of Capital Stock,,0.0,0.0,38463000.0,1115792000.0
Capital Expenditure,-141536000.0,-108393000.0,-85056000.0,-102049000.0,
Interest Paid Supplemental Data,2937009000.0,2691086000.0,1500123000.0,1241886000.0,
Income Tax Paid Supplemental Data,781552000.0,981425000.0,764966000.0,658578000.0,
End Cash Position,15367953000.0,20808120000.0,13385370000.0,10526304000.0,
Beginning Cash Position,20808120000.0,13385370000.0,10526304000.0,6993457000.0,
Effect Of Exchange Rate Changes,-118951000.0,25410000.0,-269769000.0,-48891000.0,
Changes In Cash,-5321216000.0,7397340000.0,3128835000.0,3581738000.0,
Financing Cash Flow,7076330000.0,12774088000.0,22055366000.0,20363994000.0,
Cash Flow From Continuing Financing Activities,7076330000.0,12774088000.0,22055366000.0,20363994000.0,
Net Other Financing Charges,4353848000.0,10101266000.0,16452741000.0,12786135000.0,
Interest Paid Cff,,,,,-42216000.0
Proceeds From Stock Option Exercised,-125007000.0,-41673000.0,-65717000.0,-166844000.0,
Cash Dividends Paid,-612068000.0,-615032000.0,-513341000.0,-419630000.0,
Preferred Stock Dividend Paid,0.0,-51747000.0,-69000000.0,-88201000.0,
Common Stock Dividend Paid,-612068000.0,-563285000.0,-444341000.0,-331429000.0,
Net Preferred Stock Issuance,,0.0,0.0,-500000000.0,1115792000.0
Preferred Stock Payments,,0.0,0.0,-500000000.0,0.0
Preferred Stock Issuance,,,0.0,0.0,1115792000.0
Net Common Stock Issuance,0.0,-289844000.0,-346651000.0,-231247000.0,
Common Stock Payments,0.0,-289844000.0,-346651000.0,-269710000.0,
Common Stock Issuance,,0.0,0.0,38463000.0,0.0
Net Issuance Payments Of Debt,3459557000.0,3619371000.0,6528334000.0,8895580000.0,
Net Long Term Debt Issuance,3459557000.0,3619371000.0,6528334000.0,8895580000.0,
Long Term Debt Payments,-25677318000.0,-12763783000.0,-13910767000.0,-21473835000.0,
Long Term Debt Issuance,29136875000.0,16383154000.0,20439101000.0,30369415000.0,
Investing Cash Flow,-19047424000.0,-3882936000.0,-13647272000.0,-9605548000.0,
Cash Flow From Continuing Investing Activities,-19047424000.0,-3882936000.0,-13647272000.0,-9605548000.0,
Net Other Investing Changes,34714000.0,59464000.0,-36469000.0,20494000.0,
Net Investment Purchase And Sale,-18940602000.0,-3834007000.0,-11835045000.0,-9050214000.0,
Sale Of Investment,56877137000.0,25654308000.0,35356268000.0,49567361000.0,
Purchase Of Investment,-75817739000.0,-29488315000.0,-47191313000.0,-58617575000.0,
Net Business Purchase And Sale,0.0,0.0,-1690702000.0,-473779000.0,
Purchase Of Business,0.0,0.0,-1690702000.0,-473779000.0,
Net PPE Purchase And Sale,-141536000.0,-108393000.0,-85056000.0,-102049000.0,
Sale Of PPE,,,,,0.0
Purchase Of PPE,-141536000.0,-108393000.0,-85056000.0,-102049000.0,
Operating Cash Flow,6649878000.0,-1493812000.0,-5279259000.0,-7176708000.0,
Cash Flow From Continuing Operating Activities,6649878000.0,-1493812000.0,-5279259000.0,-7176708000.0,
Change In Working Capital,1089112000.0,1428671000.0,-1430880000.0,2238170000.0,
Change In Other Working Capital,-83769000.0,353983000.0,273409000.0,157481000.0,
Change In Other Current Liabilities,-466584000.0,-717795000.0,-300332000.0,-1253550000.0,
Change In Other Current Assets,-1048738000.0,188691000.0,1035529000.0,507031000.0,
Change In Payables And Accrued Expense,2122421000.0,542820000.0,-3124973000.0,2141411000.0,
Change In Accrued Expense,2122421000.0,542820000.0,-3124973000.0,2141411000.0,
Change In Receivables,565782000.0,1060972000.0,685487000.0,685797000.0,
Changes In Account Receivables,565782000.0,1060972000.0,685487000.0,685797000.0,
Other Non Cash Items,100764000.0,-8428838000.0,-6189018000.0,-15381668000.0,
Stock Based Compensation,746443000.0,618469000.0,730236000.0,529816000.0,
Unrealized Gain Loss On Investment Securities,-1939577000.0,-2506693000.0,1241459000.0,-3940356000.0,
Operating Gains Losses,1747099000.0,2037493000.0,786558000.0,-3074387000.0,
Earnings Losses From Equity Investments,-1039310000.0,-1828541000.0,1731499000.0,-1292499000.0,
Gain Loss On Investment Securities,2786409000.0,3866034000.0,-944941000.0,-1781888000.0,
Net Income From Continuing Operations,4906037000.0,5357086000.0,-417614000.0,12451717000.0,
