,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-867000000.0,-451000000.0,-289000000.0,582000000.0,
Repurchase Of Capital Stock,,0.0,0.0,-200000000.0,0.0
Repayment Of Debt,-500000000.0,0.0,0.0,-8000000.0,
Issuance Of Debt,643000000.0,296000000.0,0.0,600000000.0,
Issuance Of Capital Stock,,246000000.0,25000000.0,28000000.0,247000000.0
Capital Expenditure,-1224000000.0,-712000000.0,-372000000.0,,
Interest Paid Supplemental Data,169000000.0,150000000.0,148000000.0,272000000.0,
Income Tax Paid Supplemental Data,,,6000000.0,3000000.0,
End Cash Position,29000000.0,53000000.0,15000000.0,40000000.0,
Beginning Cash Position,53000000.0,15000000.0,34000000.0,56000000.0,
Changes In Cash,-24000000.0,38000000.0,-19000000.0,-16000000.0,
Financing Cash Flow,303000000.0,103000000.0,-317000000.0,130000000.0,
Cash Flow From Continuing Financing Activities,303000000.0,103000000.0,-317000000.0,130000000.0,
Net Other Financing Charges,310000000.0,87000000.0,4000000.0,-13000000.0,
Cash Dividends Paid,-200000000.0,-280000000.0,-321000000.0,-403000000.0,
Common Stock Dividend Paid,-200000000.0,-280000000.0,-321000000.0,-403000000.0,
Net Preferred Stock Issuance,,0.0,0.0,-200000000.0,0.0
Preferred Stock Payments,,0.0,0.0,-200000000.0,0.0
Net Common Stock Issuance,,246000000.0,25000000.0,28000000.0,247000000.0
Common Stock Issuance,,246000000.0,25000000.0,28000000.0,247000000.0
Net Issuance Payments Of Debt,193000000.0,296000000.0,0.0,718000000.0,
Net Short Term Debt Issuance,50000000.0,0.0,0.0,126000000.0,
Net Long Term Debt Issuance,143000000.0,296000000.0,0.0,592000000.0,
Long Term Debt Payments,-500000000.0,0.0,0.0,-8000000.0,
Long Term Debt Issuance,643000000.0,296000000.0,0.0,600000000.0,
Investing Cash Flow,-684000000.0,-326000000.0,215000000.0,-728000000.0,
Cash Flow From Continuing Investing Activities,-684000000.0,-326000000.0,215000000.0,-728000000.0,
Net Other Investing Changes,540000000.0,386000000.0,587000000.0,441000000.0,
Net Business Purchase And Sale,,-1734000000.0,-1484000000.0,-1169000000.0,-1366000000.0
Sale Of Business,,120000000.0,0.0,0.0,
Purchase Of Business,,-1854000000.0,-1484000000.0,-1169000000.0,-1366000000.0
Net PPE Purchase And Sale,-1224000000.0,-712000000.0,-372000000.0,,
Purchase Of PPE,-1224000000.0,-712000000.0,-372000000.0,,
Operating Cash Flow,357000000.0,261000000.0,83000000.0,582000000.0,
Cash Flow From Continuing Operating Activities,357000000.0,261000000.0,83000000.0,582000000.0,
Change In Working Capital,-366000000.0,-491000000.0,-637000000.0,-688000000.0,
Change In Other Working Capital,204000000.0,-36000000.0,-146000000.0,-8000000.0,
Change In Other Current Liabilities,-61000000.0,-92000000.0,53000000.0,-83000000.0,
Change In Other Current Assets,4000000.0,142000000.0,2000000.0,-91000000.0,
Change In Payables And Accrued Expense,31000000.0,-68000000.0,65000000.0,37000000.0,
Change In Payable,31000000.0,-68000000.0,65000000.0,37000000.0,
Change In Account Payable,31000000.0,-68000000.0,65000000.0,37000000.0,
Change In Inventory,,-62000000.0,-27000000.0,-13000000.0,
Change In Receivables,-544000000.0,-437000000.0,-611000000.0,-530000000.0,
Changes In Account Receivables,-544000000.0,-437000000.0,-611000000.0,-530000000.0,
Other Non Cash Items,48000000.0,-10000000.0,-8000000.0,17000000.0,
Deferred Tax,-91000000.0,8000000.0,-13000000.0,-78000000.0,
Deferred Income Tax,-91000000.0,8000000.0,-13000000.0,-78000000.0,
Depreciation Amortization Depletion,404000000.0,388000000.0,381000000.0,657000000.0,
Depreciation And Amortization,404000000.0,388000000.0,381000000.0,657000000.0,
Net Income From Continuing Operations,362000000.0,366000000.0,360000000.0,674000000.0,
