,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,679500000.0,716300000.0,88500000.0,632999000.0,
Repurchase Of Capital Stock,-162800000.0,0.0,-307600000.0,-900334000.0,
Repayment Of Debt,-11421800000.0,-17417600000.0,-20017900000.0,-1502614000.0,
Issuance Of Debt,10980900000.0,17252200000.0,20546100000.0,1185020000.0,
Capital Expenditure,-454400000.0,-612900000.0,-580700000.0,-676120000.0,
Interest Paid Supplemental Data,68500000.0,86400000.0,75200000.0,,
Income Tax Paid Supplemental Data,137500000.0,187000000.0,248700000.0,,
End Cash Position,666600000.0,642600000.0,509600000.0,268895000.0,
Beginning Cash Position,642600000.0,509600000.0,268900000.0,768625000.0,
Effect Of Exchange Rate Changes,-26000000.0,-15300000.0,2500000.0,-19870000.0,
Changes In Cash,50000000.0,148300000.0,238200000.0,-479860000.0,
Financing Cash Flow,-629500000.0,-210600000.0,194300000.0,-1232225000.0,
Cash Flow From Continuing Financing Activities,-629500000.0,-210600000.0,194300000.0,-1232225000.0,
Net Other Financing Charges,-25800000.0,-45200000.0,-26300000.0,-14297000.0,
Net Common Stock Issuance,-162800000.0,0.0,-307600000.0,-900334000.0,
Common Stock Payments,-162800000.0,0.0,-307600000.0,-900334000.0,
Net Issuance Payments Of Debt,-440900000.0,-165400000.0,528200000.0,-317594000.0,
Net Short Term Debt Issuance,537300000.0,-823600000.0,220200000.0,614658000.0,
Short Term Debt Payments,-10156100000.0,-16402400000.0,-19412900000.0,-570362000.0,
Short Term Debt Issuance,10693400000.0,15578800000.0,19633100000.0,1185020000.0,
Net Long Term Debt Issuance,-978200000.0,658200000.0,308000000.0,-932252000.0,
Long Term Debt Payments,-1265700000.0,-1015200000.0,-605000000.0,-932252000.0,
Long Term Debt Issuance,287500000.0,1673400000.0,913000000.0,0.0,
Investing Cash Flow,-454400000.0,-970300000.0,-625300000.0,-556754000.0,
Cash Flow From Continuing Investing Activities,-454400000.0,-970300000.0,-625300000.0,-556754000.0,
Net Investment Purchase And Sale,0.0,158000000.0,165000000.0,243335000.0,
Sale Of Investment,0.0,933000000.0,2646000000.0,1454574000.0,
Purchase Of Investment,0.0,-775000000.0,-2481000000.0,-1211239000.0,
Net Business Purchase And Sale,0.0,-515400000.0,-209600000.0,-123969000.0,
Purchase Of Business,0.0,-515400000.0,-209600000.0,-123969000.0,
Net PPE Purchase And Sale,-454400000.0,-612900000.0,-580700000.0,-676120000.0,
Purchase Of PPE,-454400000.0,-612900000.0,-580700000.0,-676120000.0,
Operating Cash Flow,1133900000.0,1329200000.0,669200000.0,1309119000.0,
Cash Flow From Continuing Operating Activities,1133900000.0,1329200000.0,669200000.0,1309119000.0,
Change In Working Capital,-73500000.0,267000000.0,-667600000.0,-353107000.0,
Change In Other Current Liabilities,-45800000.0,43500000.0,-29900000.0,79222000.0,
Change In Other Current Assets,56800000.0,-14400000.0,-49600000.0,-66844000.0,
Change In Payables And Accrued Expense,43800000.0,-194000000.0,-94100000.0,360791000.0,
Change In Inventory,-79100000.0,281300000.0,-409600000.0,-519229000.0,
Change In Receivables,-49200000.0,150600000.0,-84400000.0,-207047000.0,
Changes In Account Receivables,,,,-207047000.0,-54977000.0
Other Non Cash Items,60000000.0,82700000.0,47700000.0,10783000.0,
Stock Based Compensation,27500000.0,20900000.0,22400000.0,25651000.0,
Asset Impairment Charge,8200000.0,877700000.0,695800000.0,0.0,
Deferred Tax,-58200000.0,-109900000.0,-51100000.0,-4929000.0,
Deferred Income Tax,-58200000.0,-109900000.0,-51100000.0,-4929000.0,
Depreciation Amortization Depletion,638300000.0,630300000.0,595500000.0,591711000.0,
Depreciation And Amortization,638300000.0,630300000.0,595500000.0,591711000.0,
Operating Gains Losses,13800000.0,-100000.0,700000.0,5462000.0,
Gain Loss On Sale Of PPE,13800000.0,-100000.0,700000.0,5462000.0,
Net Income From Continuing Operations,517800000.0,-439400000.0,25800000.0,1033548000.0,
