,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-3841200.0,-187614000.0,-150885000.0,-1252015.018686,
Tax Rate For Calcs,0.198,0.21,0.21,0.198796,
Normalized EBITDA,1352200000.0,1246700000.0,1549800000.0,1945254000.0,
Total Unusual Items,-19400000.0,-893400000.0,-718500000.0,-6298000.0,
Total Unusual Items Excluding Goodwill,-19400000.0,-893400000.0,-718500000.0,-6298000.0,
Net Income From Continuing Operation Net Minority Interest,517700000.0,-439500000.0,25200000.0,1033159000.0,
Reconciled Depreciation,638300000.0,630300000.0,595500000.0,591711000.0,
Reconciled Cost Of Revenue,8149200000.0,8425500000.0,8793700000.0,7931879000.0,
EBITDA,1332800000.0,353300000.0,831300000.0,1938956000.0,
EBIT,694500000.0,-277000000.0,235800000.0,1347245000.0,
Net Interest Income,-48500000.0,-77500000.0,-51900000.0,-57252000.0,
Interest Expense,48500000.0,77500000.0,51900000.0,57252000.0,
Normalized Income,533258800.0,266286000.0,592815000.0,1038204984.981314,
Net Income From Continuing And Discontinued Operation,517700000.0,-439500000.0,25200000.0,1033159000.0,
Total Expenses,10134000000.0,10545200000.0,10797100000.0,9865602000.0,
Total Operating Income As Reported,694700000.0,-287800000.0,244200000.0,1335011000.0,
Diluted Average Shares,63600000.0,63700000.0,64100000.0,69145000.0,
Basic Average Shares,63300000.0,63700000.0,63800000.0,68852000.0,
Diluted EPS,8.14,-6.9,0.39,14.94,
Basic EPS,8.18,-6.9,0.4,15.01,
Diluted NI Availto Com Stockholders,517700000.0,-439500000.0,25200000.0,1033159000.0,
Net Income Common Stockholders,517700000.0,-439500000.0,25200000.0,1033159000.0,
Net Income,517700000.0,-439500000.0,25200000.0,1033159000.0,
Minority Interests,-100000.0,-100000.0,-600000.0,-389000.0,
Net Income Including Noncontrolling Interests,517800000.0,-439400000.0,25800000.0,1033548000.0,
Net Income Continuous Operations,517800000.0,-439400000.0,25800000.0,1033548000.0,
Tax Provision,128200000.0,84900000.0,158100000.0,256445000.0,
Pretax Income,646000000.0,-354500000.0,183900000.0,1289993000.0,
Other Income Expense,-8400000.0,-866900000.0,-704200000.0,12234000.0,
Other Non Operating Income Expenses,11000000.0,26500000.0,14300000.0,18532000.0,
Special Income Charges,-8200000.0,-877700000.0,-703100000.0,0.0,
Other Special Charges,,,7300000.0,,
Write Off,,,0.0,0.0,3599000.0
Impairment Of Capital Assets,8200000.0,877700000.0,695800000.0,0.0,
Gain On Sale Of Security,-11200000.0,-15700000.0,-15400000.0,-6298000.0,
Net Non Operating Interest Income Expense,-48500000.0,-77500000.0,-51900000.0,-57252000.0,
Interest Expense Non Operating,48500000.0,77500000.0,51900000.0,57252000.0,
Operating Income,702900000.0,589900000.0,940000000.0,1335011000.0,
Operating Expense,1984800000.0,2119700000.0,2003400000.0,1933723000.0,
Selling General And Administration,1984800000.0,2119700000.0,2003400000.0,1933723000.0,
Gross Profit,2687700000.0,2709600000.0,2943400000.0,3268734000.0,
Cost Of Revenue,8149200000.0,8425500000.0,8793700000.0,7931879000.0,
Total Revenue,10836900000.0,11135100000.0,11737100000.0,11200613000.0,
Operating Revenue,10836900000.0,11135100000.0,11737100000.0,11200613000.0,
