,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,509305000.0,419196000.0,262951000.0,579801000.0,
Repurchase Of Capital Stock,-200000000.0,0.0,0.0,,
Repayment Of Debt,-291500000.0,-544750000.0,-884500000.0,-1034500000.0,
Issuance Of Debt,130000000.0,646000000.0,744250000.0,400000000.0,
Issuance Of Capital Stock,,0.0,0.0,11097000.0,0.0
Capital Expenditure,-126434000.0,-91442000.0,-79190000.0,-71618000.0,
Interest Paid Supplemental Data,98376000.0,100218000.0,70918000.0,73598000.0,
Income Tax Paid Supplemental Data,164902000.0,114211000.0,162046000.0,108609000.0,
End Cash Position,327650000.0,222848000.0,292034000.0,445084000.0,
Beginning Cash Position,222848000.0,292034000.0,445084000.0,375880000.0,
Effect Of Exchange Rate Changes,-9654000.0,2864000.0,-19744000.0,-23130000.0,
Changes In Cash,114456000.0,-72050000.0,-133306000.0,92334000.0,
Financing Cash Flow,-421925000.0,38540000.0,-217506000.0,-715822000.0,
Cash Flow From Continuing Financing Activities,-421925000.0,38540000.0,-217506000.0,-715822000.0,
Net Other Financing Charges,-236000.0,-4004000.0,-9159000.0,-41222000.0,
Proceeds From Stock Option Exercised,3352000.0,5190000.0,-4308000.0,12451000.0,
Cash Dividends Paid,-63541000.0,-63896000.0,-63789000.0,-63648000.0,
Common Stock Dividend Paid,-63541000.0,-63896000.0,-63789000.0,-63648000.0,
Net Common Stock Issuance,-200000000.0,0.0,0.0,11097000.0,
Common Stock Payments,-200000000.0,0.0,0.0,,
Common Stock Issuance,,0.0,0.0,11097000.0,0.0
Net Issuance Payments Of Debt,-161500000.0,101250000.0,-140250000.0,-634500000.0,
Net Long Term Debt Issuance,-161500000.0,101250000.0,-140250000.0,-634500000.0,
Long Term Debt Payments,-291500000.0,-544750000.0,-884500000.0,-1034500000.0,
Long Term Debt Issuance,130000000.0,646000000.0,744250000.0,400000000.0,
Investing Cash Flow,-99358000.0,-621228000.0,-257941000.0,156737000.0,
Cash From Discontinued Investing Activities,0.0,0.0,1469000.0,0.0,
Cash Flow From Continuing Investing Activities,-99358000.0,-621228000.0,-259410000.0,156737000.0,
Interest Received Cfi,27196000.0,63134000.0,20775000.0,19154000.0,
Net Investment Purchase And Sale,0.0,-4000000.0,-15000000.0,-11118000.0,
Sale Of Investment,7300000.0,7300000.0,7300000.0,7300000.0,
Purchase Of Investment,-7300000.0,-11300000.0,-22300000.0,-18418000.0,
Net Business Purchase And Sale,-120000.0,-588920000.0,-185995000.0,220319000.0,
Sale Of Business,0.0,15000000.0,12434000.0,224909000.0,
Purchase Of Business,-120000.0,-603920000.0,-198429000.0,-4590000.0,
Net PPE Purchase And Sale,,,,,-90694000.0
Purchase Of PPE,,,,,-90694000.0
Capital Expenditure Reported,-126434000.0,-91442000.0,-79190000.0,-71618000.0,
Operating Cash Flow,635739000.0,510638000.0,342141000.0,651419000.0,
Cash From Discontinued Operating Activities,-2521000.0,-1045000.0,-665000.0,-720000.0,
Cash Flow From Continuing Operating Activities,638260000.0,511683000.0,342806000.0,652139000.0,
Change In Working Capital,-1822000.0,-111772000.0,-239964000.0,127345000.0,
Change In Other Working Capital,-28486000.0,-12263000.0,-79453000.0,73473000.0,
Change In Payables And Accrued Expense,9665000.0,-31258000.0,-24786000.0,94020000.0,
Change In Payable,9665000.0,-31258000.0,-24786000.0,94020000.0,
Change In Account Payable,9665000.0,-31258000.0,-24786000.0,94020000.0,
Change In Prepaid Assets,43026000.0,-11420000.0,13420000.0,-28410000.0,
Change In Inventory,1925000.0,-41068000.0,-110686000.0,-11138000.0,
Change In Receivables,-27952000.0,-15763000.0,-38459000.0,-600000.0,
Changes In Account Receivables,-27952000.0,-15763000.0,-38459000.0,-600000.0,
Other Non Cash Items,14129000.0,-34206000.0,-20622000.0,-39208000.0,
Stock Based Compensation,31348000.0,31465000.0,27224000.0,22937000.0,
Asset Impairment Charge,247834000.0,0.0,1497000.0,6739000.0,
Deferred Tax,-130237000.0,-13046000.0,-13008000.0,-110239000.0,
Deferred Income Tax,-130237000.0,-13046000.0,-13008000.0,-110239000.0,
Depreciation Amortization Depletion,274601000.0,242118000.0,230590000.0,237362000.0,
Depreciation And Amortization,274601000.0,242118000.0,230590000.0,237362000.0,
Amortization Cash Flow,197669000.0,173974000.0,164088000.0,165604000.0,
Amortization Of Intangibles,197669000.0,173974000.0,164088000.0,165604000.0,
Depreciation,76932000.0,68144000.0,66502000.0,71758000.0,
Operating Gains Losses,132732000.0,40796000.0,-6050000.0,-78171000.0,
Pension And Employee Benefit Expense,132732000.0,45244000.0,0.0,0.0,
Gain Loss On Investment Securities,,,,,-19178000.0
Net Income From Continuing Operations,69675000.0,356328000.0,363139000.0,485374000.0,
